symbol,exchange,shares_outstanding,public_float,short_interest_date,shares_sold_short,change_from_last,percent_of_float
DFPH,NASDAQ,23000000.0,,12/31/20,92145.0,61.23,
DFPHU,NASDAQ,23000000.0,22550000.0,12/31/20,1908.0,-15.5,0.01
DFS,NYSE,306500000.0,305260000.0,12/31/20,6690000.0,-0.38,2.19
DG,NYSE,249030000.0,244480000.0,12/31/20,2210000.0,-10.18,0.9
DGICA,NASDAQ,23530000.0,13000000.0,12/31/20,132622.0,-2.44,1.02
DGICB,NASDAQ,,732037.0,12/31/20,151.0,-24.12,0.02
DGII,NASDAQ,29240000.0,28540000.0,12/31/20,584996.0,-11.45,2.05
DGL,ARCA,2000000.0,,12/31/20,11792.0,-50.04,
DGLY,NASDAQ,30080000.0,25500000.0,12/31/20,2910000.0,-15.8,11.42
DGNR,NYSE,69000000.0,,12/31/20,164680.0,2.12,
DGNS,NASDAQ,27600000.0,,12/31/20,6635.0,-23.72,
DGP,ARCA,3130000.0,,12/31/20,146.0,-76.86,
DGRE,NASDAQ,3800000.0,,12/31/20,9299.0,-37.26,
DGRO,ARCA,330350000.0,,12/31/20,445169.0,-32.77,
DGRS,NASDAQ,3630000.0,,12/31/20,25955.0,5.62,
DGRW,NASDAQ,96650000.0,,12/31/20,189234.0,61.77,
DGS,ARCA,37300000.0,,12/31/20,246903.0,16.83,
DGT,ARCA,850464.0,,12/31/20,79.0,-58.85,
DGX,NYSE,134770000.0,134070000.0,12/31/20,2820000.0,10.89,2.11
DGZ,ARCA,,,12/31/20,97.0,-46.99,
DHC,NASDAQ,237950000.0,237740000.0,12/31/20,12970000.0,11.69,5.46
DHCNI,NASDAQ,,,12/31/20,18765.0,-32.04,
DHCNL,NASDAQ,,,12/31/20,6642.0,36.64,
DHF,NYSE,72710000.0,,12/31/20,140518.0,48.83,
DHI,NYSE,364630000.0,360970000.0,12/31/20,5480000.0,10.53,1.52
DHIL,NASDAQ,3160000.0,3010000.0,12/31/20,55227.0,-13.07,1.83
DHR,NYSE,710380000.0,630230000.0,12/31/20,4900000.0,18.56,0.78
DHR.PRA,NYSE,,,12/31/20,939.0,-82.49,
DHR.PRB,NYSE,1720000.0,,12/31/20,150699.0,-8.09,
DHS,ARCA,10900000.0,,12/31/20,1617.0,8.09,
DHT,NYSE,170800000.0,142150000.0,12/31/20,5360000.0,-0.56,3.77
DHX,NYSE,52920000.0,47400000.0,12/31/20,332693.0,22.92,0.7
DHY,AMEX,,,12/31/20,74088.0,-73.81,
DIA,ARCA,83240000.0,,12/31/20,7460000.0,-7.52,
DIAL,ARCA,38250000.0,,12/31/20,80466.0,-90.64,
DIAX,NYSE,36370000.0,,12/31/20,48577.0,109.46,
DIG,ARCA,1560000.0,,12/31/20,57312.0,18.41,
DIM,ARCA,2500000.0,,12/31/20,450.0,20.97,
DIN,NYSE,16420000.0,15400000.0,12/31/20,956013.0,-8.15,6.21
DINT,NASDAQ,12100000.0,,12/31/20,55863.0,40.63,
DIOD,NASDAQ,52040000.0,42120000.0,12/31/20,815473.0,14.74,1.94
DIS,NYSE,1810000000.0,1810000000.0,12/31/20,20860000.0,5.16,1.15
DISCA,NASDAQ,160470000.0,154570000.0,12/31/20,54610000.0,3.05,35.33
DISCB,NASDAQ,6510000.0,228448.0,12/31/20,1403.0,-47.84,0.61
DISCK,NASDAQ,340170000.0,311530000.0,12/31/20,6900000.0,-12.41,2.22
DISH,NASDAQ,287530000.0,246670000.0,12/31/20,25040000.0,96.25,10.15
DIT,AMEX,551369.0,152885.0,12/31/20,1231.0,166.45,0.81
DIV,ARCA,29740000.0,,12/31/20,168108.0,-20.9,
DIVA,ARCA,150000.0,,12/31/20,9290.0,8.74,
DIVO,ARCA,6200000.0,,12/31/20,30541.0,-43.51,
DJCB,ARCA,5200000.0,,12/15/20,168.0,-92.59,
DJCO,NASDAQ,1380000.0,767328.0,12/31/20,23471.0,-47.63,3.06
DJD,ARCA,3160000.0,,12/31/20,14196.0,-53.01,
DJP,ARCA,23150000.0,,12/31/20,94793.0,-34.29,
DK,NYSE,73730000.0,72280000.0,12/31/20,5050000.0,2.89,6.99
DKL,NYSE,29430000.0,8279999.0,12/31/20,245897.0,-8.6,2.97
DKNG,NASDAQ,391710000.0,310650000.0,12/31/20,18020000.0,-12.29,5.8
DKS,NYSE,65730000.0,63250000.0,12/31/20,13470000.0,2.69,21.29
DL,NYSE,33650000.0,,12/31/20,22457.0,89.19,
DLA,AMEX,6970000.0,5860000.0,12/31/20,60596.0,-9.29,1.03
DLB,NYSE,64220000.0,63640000.0,12/31/20,980840.0,36.9,1.54
DLCAU,NASDAQ,20700000.0,,,,,
DLHC,NASDAQ,12530000.0,10210000.0,12/31/20,5146.0,-54.9,0.05
DLN,ARCA,24200000.0,,12/31/20,35541.0,-41.11,
DLNG,NYSE,35610000.0,15930000.0,12/31/20,15482.0,1.77,0.1
DLNG.PRA,NYSE,,,12/31/20,4029.0,44.67,
DLNG.PRB,NYSE,,,12/31/20,1718.0,-28.12,
DLPN,NASDAQ,6560000.0,5030000.0,12/31/20,40049.0,-19.25,0.8
DLR,NYSE,280170000.0,279320000.0,12/31/20,6400000.0,11.97,2.29
DLR.PRC,NYSE,,,12/31/20,10600.0,38.25,
DLR.PRJ,NYSE,,,12/31/20,2862.0,-42.24,
DLR.PRK,NYSE,,,12/31/20,13011.0,-89.29,
DLR.PRL,NYSE,,,12/31/20,19127.0,-36.26,
DLS,ARCA,19850000.0,,12/31/20,1138.0,92.88,
DLTH,NASDAQ,29460000.0,19870000.0,12/31/20,2370000.0,-7.24,11.94
DLTR,NASDAQ,235190000.0,232230000.0,12/31/20,3080000.0,17.49,1.33
DLX,NYSE,41890000.0,41580000.0,12/31/20,2280000.0,2.58,5.48
DLY,NYSE,47950000.0,,12/31/20,533.0,-98.56,
DM,NYSE,234230000.0,160320000.0,12/31/20,3600000.0,25.41,2.25
DMAC,NASDAQ,18740000.0,17460000.0,12/31/20,99093.0,145.92,0.57
DMB,NYSE,18390000.0,,12/31/20,40290.0,-4.3,
DMDV,ARCA,100000.0,,12/31/20,567.0,1218.6,
DMF,AMEX,20750000.0,,12/31/20,895.0,-60.97,
DMLP,NASDAQ,34680000.0,31290000.0,12/31/20,93141.0,15.4,0.3
DMO,NYSE,11030000.0,,12/31/20,5696.0,-22.81,
DMRC,NASDAQ,15320000.0,11140000.0,12/31/20,1380000.0,-2.97,12.4
DMRE,ARCA,,,12/31/20,85.0,-6.59,
DMRI,ARCA,3550000.0,,12/31/20,350.0,-12.5,
DMRL,ARCA,5780000.0,,12/31/20,5.0,-99.37,
DMRM,ARCA,1750000.0,,12/31/20,43.0,-95.7,
DMRS,ARCA,810000.0,,12/31/20,730.0,7200.0,
DMS,NYSE,32390000.0,3200000.0,12/31/20,291895.0,23.68,9.11
DMTK,NASDAQ,23830000.0,17010000.0,12/31/20,1160000.0,21.97,6.84
DMXF,NASDAQ,1000000.0,,12/31/20,5618.0,1.3,
DMYD,NYSE,27600000.0,,12/31/20,1500000.0,217.41,
DMYI,NYSE,30000000.0,,,,,
DNB,NYSE,422800000.0,185300000.0,12/31/20,5650000.0,-0.86,3.05
DNK,NYSE,157980000.0,,12/31/20,417113.0,-59.9,
DNL,ARCA,4000000.0,,12/31/20,19851.0,448.52,
DNLI,NASDAQ,119920000.0,75770000.0,12/31/20,8070000.0,-6.14,10.65
DNMR,NYSE,20000000.0,65370000.0,12/31/20,715308.0,287.53,1.09
DNN,AMEX,677670000.0,673300000.0,12/31/20,10450000.0,-8.78,1.55
DNOW,NYSE,109380000.0,108350000.0,12/31/20,2970000.0,2.51,2.74
DNP,NYSE,302450000.0,,12/31/20,518092.0,8.05,
DOC,NYSE,208230000.0,205520000.0,12/31/20,5970000.0,-15.35,2.9
DOCU,NASDAQ,186560000.0,181440000.0,12/31/20,7990000.0,0.07,4.4
DOG,ARCA,8369999.0,,12/31/20,114863.0,-49.42,
DOGZ,NASDAQ,20300000.0,16850000.0,12/31/20,134125.0,-28.65,0.8
DOL,ARCA,7600000.0,,12/31/20,1712.0,-62.51,
DOMO,NASDAQ,26690000.0,25280000.0,12/31/20,2790000.0,-2.26,11.04
DON,ARCA,74450000.0,,12/31/20,37182.0,-2.33,
DOO,ARCA,3400000.0,,12/31/20,312.0,-87.71,
DOOO,NASDAQ,44030000.0,42740000.0,12/31/20,180642.0,-48.07,0.42
DOOR,NYSE,24500000.0,23920000.0,12/31/20,555071.0,1.09,2.32
DORM,NASDAQ,32290000.0,26560000.0,12/31/20,839390.0,-1.67,3.16
DOV,NYSE,144100000.0,143260000.0,12/31/20,1800000.0,-10.74,1.26
DOW,NYSE,741750000.0,740750000.0,12/31/20,9480000.0,-1.98,1.28
DOX,NASDAQ,131110000.0,131110000.0,12/31/20,2450000.0,12.61,1.87
DOYU,NASDAQ,320950000.0,309330000.0,12/31/20,12200000.0,31.62,3.94
DPG,NYSE,,,12/31/20,136899.0,206.56,
DPST,ARCA,1590000.0,,12/31/20,115639.0,-19.91,
DPW,AMEX,18490000.0,,12/31/20,2000000.0,27.44,
DPZ,NYSE,39400000.0,39120000.0,12/31/20,1370000.0,9.72,3.49
DQ,NYSE,69480000.0,,12/31/20,8070000.0,16.98,
DRD,NYSE,,,12/31/20,831715.0,98.52,
DRE,NYSE,371950000.0,371220000.0,12/31/20,5980000.0,6.81,1.61
DRH,NYSE,199520000.0,197220000.0,12/31/20,7260000.0,6.59,3.68
DRH.PRA,NYSE,4760000.0,,12/31/20,1113.0,-83.13,
DRI,NYSE,130330000.0,129810000.0,12/31/20,4490000.0,-12.96,3.46
DRIO,NASDAQ,8109999.0,5610000.0,12/31/20,114419.0,-3.3,2.04
DRIP,ARCA,4250000.0,,12/31/20,217535.0,-26.17,
DRIV,NASDAQ,17650000.0,,12/31/20,54305.0,-14.62,
DRN,ARCA,5950000.0,,12/31/20,89483.0,-60.42,
DRNA,NASDAQ,75040000.0,66090000.0,12/31/20,5210000.0,-11.94,7.88
DRQ,NYSE,35100000.0,34410000.0,12/31/20,1680000.0,-3.1,4.87
DRRX,NASDAQ,203180000.0,199900000.0,12/31/20,8740000.0,-0.76,4.37
DRTT,NASDAQ,84680000.0,51580000.0,12/31/20,1010000.0,14.27,1.96
DRUA,NYSE,,,12/31/20,7085.0,-4.59,
DRV,ARCA,2500000.0,,12/31/20,67551.0,-7.35,
DRVN,NASDAQ,164710000.0,43320000.0,,,,
DRW,ARCA,2750000.0,,12/31/20,463.0,612.31,
DS,NYSE,67230000.0,58160000.0,12/31/20,2820000.0,79.79,4.84
DS.PRB,NYSE,1350000.0,,12/31/20,5889.0,-8.17,
DS.PRC,NYSE,,,12/31/20,274.0,-31.5,
DS.PRD,NYSE,,,12/31/20,1856.0,217.81,
DSAC,NASDAQ,17500000.0,,12/31/20,118118.0,1519.39,
DSACU,NASDAQ,17500000.0,,12/31/20,6366.0,-22.75,
DSE,NYSE,2620000.0,,12/31/20,295.0,3.51,
DSGX,NASDAQ,84480000.0,84160000.0,12/31/20,423342.0,-2.15,0.5
DSI,ARCA,36600000.0,,12/31/20,71519.0,105.15,
DSKE,NASDAQ,65019999.0,42010000.0,12/31/20,2140000.0,7.11,5.1
DSL,NYSE,102000000.0,,12/31/20,25968.0,-35.65,
DSM,NYSE,62210000.0,,12/31/20,4592.0,-88.16,
DSPG,NASDAQ,23600000.0,21720000.0,12/31/20,742141.0,-5.37,3.42
DSS,AMEX,5840000.0,4139999.0,12/31/20,447172.0,27.91,10.81
DSSI,NYSE,39920000.0,25470000.0,12/31/20,711704.0,2.22,2.79
DSTL,ARCA,6380000.0,,12/31/20,12005.0,37.45,
DSTX,ARCA,550000.0,,12/31/20,12124.0,,
DSU,NYSE,46820000.0,,12/31/20,91776.0,-18.05,
DSWL,NASDAQ,15920000.0,5450000.0,12/31/20,2552.0,-31.4,0.05
DSX,NYSE,89280000.0,63820000.0,12/31/20,788090.0,-3.4,1.23
DSX.PRB,NYSE,,,12/15/20,1492.0,54.29,
DT,NYSE,282100000.0,177870000.0,12/31/20,10310000.0,8.18,5.8
DTB,NYSE,8000000.0,,12/31/20,24533.0,-42.38,
DTD,ARCA,7800000.0,,12/31/20,11115.0,-28.64,
DTE,NYSE,193560000.0,192350000.0,12/31/20,1580000.0,0.78,0.82
DTEA,NASDAQ,26230000.0,14180000.0,12/31/20,159721.0,-2.86,1.13
DTF,NYSE,8520000.0,,12/31/20,2434.0,44.37,
DTH,ARCA,4650000.0,,12/31/20,118583.0,12000.31,
DTIL,NASDAQ,52480000.0,39930000.0,12/31/20,4220000.0,53.0,10.56
DTJ,NYSE,,,12/31/20,3152.0,255.36,
DTLA.PR,NYSE,,,12/31/20,2044.0,84.64,
DTN,ARCA,6150000.0,,12/31/20,328.0,-25.62,
DTP,NYSE,,,12/31/20,10845.0,-70.0,
DTSS,NASDAQ,,5940000.0,12/31/20,69880.0,-3.09,1.18
DTW,NYSE,,,12/31/20,7529.0,-51.86,
DTY,NYSE,,,12/31/20,6850.0,-9.92,
DUC,NYSE,,,12/31/20,59100.0,81.51,
DUG,ARCA,867110.0,,12/31/20,15306.0,-66.24,
DUK,NYSE,735430000.0,735210000.0,12/31/20,6580000.0,15.09,0.9
DUK.PRA,NYSE,,,12/31/20,27934.0,-29.97,
DUKB,NYSE,,,12/31/20,53100.0,-31.8,
DUKH,NYSE,,,12/31/20,88325.0,71.37,
DUNEU,NASDAQ,17250000.0,,12/31/20,831.0,,
DUO,NASDAQ,55050000.0,,12/31/20,97442.0,57.23,
DUOT,NASDAQ,3530000.0,2610000.0,12/31/20,2336.0,-42.8,0.09
DUSA,NASDAQ,10600000.0,,12/31/20,25306.0,49.73,
DUSL,ARCA,1300000.0,,12/31/20,11316.0,-74.46,
DUST,ARCA,4860000.0,,12/31/20,1650000.0,32.94,
DVA,NYSE,112000000.0,108460000.0,12/31/20,3970000.0,-23.62,3.66
DVAX,NASDAQ,110170000.0,98400000.0,12/31/20,22850000.0,-6.36,23.23
DVD,NYSE,17860000.0,14860000.0,12/31/20,13698.0,183.19,0.09
DVLU,NASDAQ,900002.0,,12/31/20,,,
DVN,NYSE,672290000.0,643800000.0,12/31/20,16320000.0,0.2,2.53
DVOL,NASDAQ,5050000.0,,12/31/20,2697.0,71.35,
DVY,NASDAQ,150100000.0,,12/31/20,663444.0,-23.51,
DVYA,ARCA,800000.0,,12/31/20,871.0,-59.94,
DVYE,ARCA,18650000.0,,12/31/20,281198.0,98.81,
DWAS,NASDAQ,5180000.0,,12/31/20,11682.0,-68.45,
DWAT,NASDAQ,,,10/30/20,,,
DWAW,NASDAQ,3680000.0,,12/31/20,2843.0,-83.11,
DWCR,NASDAQ,,,12/31/20,13.0,85.71,
DWEQ,NASDAQ,2730000.0,,12/31/20,11037.0,-7.62,
DWFI,NASDAQ,4720000.0,,12/31/20,84771.0,487.99,
DWLD,NASDAQ,11200000.0,,12/31/20,83401.0,17.77,
DWM,ARCA,12000000.0,,12/31/20,1044.0,-19.13,
DWMC,NASDAQ,100000.0,,12/31/20,833.0,16.34,
DWMF,ARCA,1600000.0,,12/31/20,148.0,-98.22,
DWPP,NASDAQ,450002.0,,12/31/20,13634.0,-0.21,
DWSH,NASDAQ,3250000.0,,12/31/20,14834.0,-71.22,
DWSN,NASDAQ,23480000.0,21780000.0,12/31/20,48861.0,-4.87,0.22
DWUS,NASDAQ,2200000.0,,12/31/20,9609.0,707.48,
DWX,ARCA,16350000.0,,12/31/20,53236.0,-9.92,
DX,NYSE,23140000.0,21920000.0,12/31/20,1300000.0,-18.34,5.92
DX.PRB,NYSE,2790000.0,,12/31/20,1602.0,117.66,
DX.PRC,NYSE,4460000.0,,,,,
DXC,NYSE,254410000.0,251300000.0,12/31/20,6270000.0,-2.98,2.49
DXCM,NASDAQ,96030000.0,94680000.0,12/31/20,3450000.0,-1.19,3.65
DXD,ARCA,11100000.0,,12/31/20,339981.0,-13.51,
DXF,AMEX,,,12/31/20,91356.0,127.14,
DXGE,NASDAQ,1000000.0,,12/31/20,245.0,44.12,
DXJ,ARCA,28750000.0,,12/31/20,137810.0,-48.93,
DXJS,NASDAQ,800000.0,,12/31/20,586.0,70.85,
DXPE,NASDAQ,17780000.0,16309999.0,12/31/20,834326.0,16.58,5.12
DXR,AMEX,3890000.0,946391.0,12/31/20,13298.0,1.27,1.41
DXYN,NASDAQ,14930000.0,11250000.0,12/31/20,78401.0,42.49,0.7
DY,NYSE,31910000.0,30500000.0,12/31/20,1450000.0,-11.21,4.77
DYAI,NASDAQ,27480000.0,19220000.0,12/31/20,929954.0,-5.73,4.84
DYFN,NYSE,4059999.0,,,,,
DYHG,ARCA,125000.0,,12/31/20,8310.0,-24.29,
DYN,NASDAQ,45420000.0,19780000.0,12/31/20,1640000.0,73.35,8.27
DYNF,ARCA,2900000.0,,12/31/20,224.0,-64.44,
DYNT,NASDAQ,14720000.0,9150000.0,12/31/20,12445.0,-19.76,0.14
DZSI,NASDAQ,21640000.0,11010000.0,12/31/20,223751.0,-1.49,2.03
DZZ,ARCA,2590000.0,,12/31/20,183.0,-97.54,
E,NYSE,1800000000.0,1770000000.0,12/31/20,1230000.0,-16.01,0.07
EA,NASDAQ,290080000.0,288600000.0,12/31/20,8790000.0,26.95,3.05
EACPU,NASDAQ,24000000.0,,,,,
EAD,AMEX,60620000.0,,12/31/20,53961.0,-1.79,
EAF,NYSE,267190000.0,119410000.0,12/31/20,4870000.0,-5.72,4.08
EAGG,ARCA,18300000.0,,12/31/20,12564.0,-83.58,
EAI,NYSE,,,12/31/20,322.0,-93.4,
EAR,NASDAQ,38190000.0,15640000.0,12/31/20,1680000.0,42.39,10.72
EARN,NYSE,12330000.0,8780000.0,12/31/20,302628.0,7.69,3.45
EARS,NASDAQ,9420000.0,6660000.0,12/31/20,44637.0,-86.79,0.67
EASG,ARCA,550001.0,,12/31/20,3987.0,-38.11,
EAST,NASDAQ,10150000.0,8540000.0,12/31/20,152678.0,-5.45,1.79
EAT,NYSE,45290000.0,36320000.0,12/31/20,4820000.0,6.16,13.28
EB,NYSE,68280000.0,66620000.0,12/31/20,8680000.0,-11.09,13.04
EBAY,NASDAQ,689340000.0,663000000.0,12/31/20,25020000.0,-3.5,3.77
EBAYL,NASDAQ,,,12/31/20,111333.0,480.13,
EBC,NASDAQ,179290000.0,184810000.0,12/31/20,6170000.0,399.18,3.34
EBF,NYSE,26070000.0,25150000.0,12/31/20,494254.0,-21.8,1.97
EBIX,NASDAQ,30960000.0,25350000.0,12/31/20,7510000.0,0.75,29.62
EBIZ,NASDAQ,4450000.0,,12/31/20,43148.0,100.67,
EBLU,ARCA,650000.0,,,,,
EBMT,NASDAQ,6760000.0,6210000.0,12/31/20,46058.0,-0.2,0.74
EBND,ARCA,37000000.0,,12/31/20,605901.0,-21.74,
EBON,NASDAQ,84410000.0,74540000.0,12/31/20,1160000.0,21.45,1.56
EBR,NYSE,1290000000.0,,12/31/20,345899.0,-34.65,
EBR.B,NYSE,279940000.0,,12/31/20,11132.0,-17.85,
EBS,NYSE,53000000.0,45150000.0,12/31/20,2680000.0,29.4,5.93
EBSB,NASDAQ,52410000.0,47080000.0,12/31/20,446687.0,21.04,0.95
EBTC,NASDAQ,11930000.0,8950000.0,12/31/20,57729.0,-3.71,0.65
EC,NYSE,,,12/31/20,7170000.0,-16.84,
ECC,NYSE,29860000.0,,12/31/20,89522.0,-15.75,
ECCB,NYSE,,,12/31/20,2164.0,602.6,
ECCX,NYSE,2590000.0,,12/31/20,4549.0,-55.98,
ECCY,NYSE,1160000.0,,12/31/20,1602.0,23.52,
ECF,AMEX,13210000.0,,12/31/20,54986.0,-32.74,
ECF.PRA,AMEX,,,12/31/20,1349.0,4251.61,
ECHO,NASDAQ,26610000.0,25990000.0,12/31/20,1110000.0,6.2,4.26
ECL,NYSE,285450000.0,283880000.0,12/31/20,2110000.0,-28.75,0.74
ECLN,ARCA,200002.0,,12/31/20,1635.0,41.56,
ECNS,ARCA,1100000.0,,12/31/20,52106.0,211.02,
ECOL,NASDAQ,31510000.0,31100000.0,12/31/20,842216.0,12.46,2.71
ECOM,NYSE,28680000.0,27770000.0,12/31/20,858634.0,-9.83,3.09
ECON,ARCA,6500000.0,,12/31/20,4932.0,-78.18,
ECOR,NASDAQ,45450000.0,31760000.0,12/31/20,459045.0,-13.02,1.45
ECOW,NASDAQ,100000.0,,12/31/20,719.0,-20.9,
ECOZ,ARCA,250000.0,,12/31/20,112.0,330.77,
ECPG,NASDAQ,31340000.0,29980000.0,12/31/20,4040000.0,0.42,13.47
ED,NYSE,342120000.0,341450000.0,12/31/20,8730000.0,-6.14,2.56
EDAP,NASDAQ,,28960000.0,12/31/20,107512.0,11.19,0.37
EDC,ARCA,3130000.0,,12/31/20,113194.0,0.77,
EDD,NYSE,66090000.0,,12/31/20,18743.0,-50.47,
EDF,NYSE,16430000.0,,12/31/20,153274.0,-54.01,
EDI,NYSE,9800000.0,,12/31/20,43243.0,72.4,
EDIT,NASDAQ,62690000.0,61790000.0,12/31/20,9890000.0,-9.17,16.01
EDIV,ARCA,10250000.0,,12/31/20,4825.0,111.25,
EDN,NYSE,,,12/31/20,52275.0,43.16,
EDOC,NASDAQ,34110000.0,,12/31/20,508126.0,172.61,
EDOG,ARCA,1000000.0,,12/31/20,2354.0,5.85,
EDOW,ARCA,2150000.0,,12/31/20,10853.0,-52.64,
EDRY,NASDAQ,2300000.0,1050000.0,12/31/20,6349.0,137.52,0.61
EDSA,NASDAQ,10520000.0,3920000.0,12/31/20,14930.0,-39.39,0.38
EDTK,NASDAQ,3000000.0,5750000.0,12/31/20,15031.0,88.1,0.26
EDTXU,NASDAQ,10000000.0,7910000.0,12/31/20,5776.0,137.5,0.07
EDU,NYSE,170170000.0,169640000.0,12/31/20,4240000.0,-0.83,2.5
EDUC,NASDAQ,8350000.0,6330000.0,12/31/20,36190.0,57.66,0.57
EDUT,NASDAQ,500069.0,,12/31/20,6040.0,-48.42,
EDV,ARCA,8630000.0,,12/31/20,34293.0,-81.34,
EDZ,ARCA,2800000.0,,12/31/20,152766.0,5.01,
EEA,NYSE,7550000.0,,12/31/20,3823.0,15.12,
EEFT,NASDAQ,52310000.0,50000000.0,12/31/20,726920.0,-5.53,1.45
EEH,ARCA,,,11/30/20,2.0,-33.33,
EELV,ARCA,12600000.0,,12/31/20,280.0,180.0,
EEM,ARCA,546300000.0,,12/31/20,129000000.0,-3.17,
EEMA,NASDAQ,8600000.0,,12/31/20,2522.0,-98.58,
EEMD,ARCA,225000.0,,12/31/20,474.0,-62.94,
EEMO,ARCA,350000.0,,12/31/20,899.0,-5.86,
EEMS,ARCA,4600000.0,,12/31/20,176685.0,16.82,
EEMX,ARCA,1800000.0,,12/31/20,1032.0,-58.75,
EES,ARCA,11850000.0,,12/31/20,7677.0,-64.81,
EET,ARCA,725000.0,,12/31/20,2829.0,-83.18,
EEV,ARCA,363770.0,,12/31/20,21707.0,-24.54,
EEX,NYSE,71480000.0,23020000.0,12/31/20,330737.0,8.96,1.44
EFA,ARCA,719400000.0,,12/31/20,42790000.0,-23.36,
EFAS,NASDAQ,649857.0,,12/31/20,1192.0,330.32,
EFAX,ARCA,2200000.0,,12/31/20,8335.0,109.05,
EFC,NYSE,43780000.0,41640000.0,12/31/20,703989.0,15.41,1.69
EFC.PRA,NYSE,,,12/31/20,152.0,-90.15,
EFF,NYSE,,,12/31/20,3003.0,99.14,
EFIV,ARCA,2700000.0,,12/31/20,248.0,-96.69,
EFL,NYSE,23620000.0,,12/31/20,1729.0,-80.73,
EFO,ARCA,275000.0,,12/31/20,8249.0,106.53,
EFOI,NASDAQ,3500000.0,2860000.0,12/31/20,169787.0,-2.85,5.93
EFR,NYSE,,,12/31/20,380251.0,448.21,
EFSC,NASDAQ,31210000.0,28610000.0,12/31/20,436107.0,50.69,1.52
EFT,NYSE,,,12/31/20,230337.0,216.7,
EFU,ARCA,137430.0,,12/31/20,4485.0,-2.56,
EFX,NYSE,121640000.0,121150000.0,12/31/20,1440000.0,-26.91,1.19
EFZ,ARCA,525000.0,,12/31/20,19909.0,-22.06,
EGAN,NASDAQ,30930000.0,21120000.0,12/31/20,1090000.0,43.48,5.18
EGBN,NASDAQ,32229999.0,29590000.0,12/31/20,618876.0,10.56,2.09
EGF,NYSE,4730000.0,,12/31/20,9409.0,-10.8,
EGHT,NYSE,106320000.0,103340000.0,12/31/20,20940000.0,-3.18,20.26
EGLE,NASDAQ,12100000.0,11990000.0,12/31/20,576610.0,0.09,4.81
EGO,NYSE,174130000.0,173850000.0,12/31/20,3050000.0,-18.49,1.75
EGOV,NASDAQ,67030000.0,65110000.0,12/31/20,1040000.0,-5.84,1.59
EGP,NYSE,39560000.0,38730000.0,12/31/20,778688.0,28.1,2.01
EGPT,ARCA,749974.0,,12/31/20,2625.0,-25.91,
EGRX,NASDAQ,13030000.0,11260000.0,12/31/20,1490000.0,-0.11,13.24
EGY,NYSE,57460000.0,53770000.0,12/31/20,230671.0,12.34,0.43
EH,NASDAQ,32020000.0,,12/31/20,818829.0,35.4,
EHC,NYSE,99430000.0,97770000.0,12/31/20,1530000.0,-28.57,1.56
EHI,NYSE,,,12/31/20,151303.0,-33.71,
EHT,NYSE,21460000.0,,12/31/20,1397.0,-52.53,
EHTH,NASDAQ,25900000.0,24490000.0,12/31/20,2700000.0,-1.94,11.02
EIC,NYSE,6100000.0,,12/31/20,981.0,250.36,
EIDO,ARCA,16350000.0,,12/31/20,1650000.0,-21.17,
EIDX,NASDAQ,38860000.0,13510000.0,12/31/20,495615.0,-1.18,3.67
EIG,NYSE,29020000.0,28070000.0,12/31/20,635519.0,29.06,2.26
EIGI,NASDAQ,141710000.0,77060000.0,12/31/20,2430000.0,31.79,3.15
EIGR,NASDAQ,32530000.0,29560000.0,12/31/20,1480000.0,-2.7,5.01
EIM,AMEX,71950000.0,,12/31/20,44995.0,214.91,
EINC,ARCA,564720.0,,12/31/20,748.0,-0.4,
EIRL,ARCA,1200000.0,,12/31/20,5625.0,-41.58,
EIS,ARCA,2200000.0,,12/31/20,4553.0,-13.01,
EIX,NYSE,378510000.0,378270000.0,12/31/20,6030000.0,7.16,1.59
EJAN,ARCA,2650000.0,,12/31/20,30408.0,225.32,
EJUL,ARCA,950000.0,,12/31/20,60.0,-95.38,
EKAR,ARCA,224980.0,,12/31/20,2375.0,208.04,
EKSO,NASDAQ,8320000.0,7440000.0,12/31/20,187956.0,28.8,2.52
EL,NYSE,226540000.0,225040000.0,12/31/20,1930000.0,13.11,0.86
ELA,AMEX,26920000.0,7550000.0,12/31/20,257912.0,-13.72,3.42
ELAN,NYSE,471920000.0,452150000.0,12/31/20,13180000.0,-13.94,2.92
ELAT,NYSE,11000000.0,,12/31/20,200183.0,76.25,
ELC,NYSE,,,12/31/20,21335.0,353.94,
ELD,ARCA,3700000.0,,12/31/20,61335.0,13652.24,
ELDN,NASDAQ,14310000.0,1080000.0,12/31/20,109570.0,0.58,10.19
ELF,NYSE,51030000.0,45850000.0,12/31/20,3180000.0,29.66,6.94
ELLO,AMEX,11480000.0,4920000.0,12/31/20,270.0,-38.36,0.01
ELMD,AMEX,8610000.0,6720000.0,12/31/20,277008.0,21.38,4.12
ELOX,NASDAQ,40150000.0,27040000.0,12/31/20,1150000.0,-15.16,4.25
ELP,NYSE,128300000.0,128289999.0,12/31/20,5680000.0,14.67,4.43
ELS,NYSE,182220000.0,173310000.0,12/31/20,1750000.0,2.51,1.01
ELSE,NASDAQ,,2230000.0,12/31/20,8834.0,32.32,0.4
ELTK,NASDAQ,,1300000.0,12/31/20,1828.0,-66.19,0.14
ELVT,NYSE,38070000.0,16430000.0,12/31/20,259817.0,-50.47,1.58
ELY,NYSE,94180000.0,86690000.0,12/31/20,16770000.0,-6.96,19.34
